time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
06-07-2021,29.3,26.2,32.6,,,197,6.8,,1002.5,
07-07-2021,29.7,27.3,33.4,11.1,,199,6.9,,1002.2,
08-07-2021,27.4,25.8,29.7,66.9,,186,6.3,,1001.8,
09-07-2021,28.5,26.1,32.1,11.4,,173,3.9,,1001,
10-07-2021,29,26.2,32.6,2.7,,121,4.6,,1000.9,
11-07-2021,29.3,26.2,33.7,10.8,,70,5.8,,1002.2,
12-07-2021,28.9,25.7,32.9,5.4,,95,7,,1003.4,
13-07-2021,28.6,25.5,32.5,10.1,,101,5.5,,1002.8,
14-07-2021,29,25.4,32.7,1.9,,138,6.5,,1002.7,
15-07-2021,29.5,25.5,33.4,1.3,,152,8.7,,1004,
16-07-2021,29.6,26.3,33.2,1.1,,179,9.5,,1006.1,
17-07-2021,29.8,27,32.9,6,,181,8.3,,1004.9,
18-07-2021,29.6,27.4,32.3,8.9,,181,8,,1002.8,
19-07-2021,29,27.1,31.5,12.1,,194,6.6,,1001.2,
20-07-2021,28.7,26.8,31.9,28.7,,254,5.6,,1001.1,
21-07-2021,28.4,26.2,31.7,10.1,,230,5.1,,998.5,
22-07-2021,28.8,25.5,32.8,17.3,,55,6.9,,995.8,
23-07-2021,27.5,26.5,29,48.3,,5,8.9,,994.6,
24-07-2021,28.5,26.2,32.3,12.4,,203,9.2,,996.8,
25-07-2021,29.4,26,33,4.7,,203,9.4,,999.7,
26-07-2021,29.5,26.9,33,1.8,,237,11,,999.5,
27-07-2021,27.9,26.5,30.5,20.9,,244,12.8,,998.3,
28-07-2021,27.1,26,29.2,9.9,,257,15.5,,998.5,
29-07-2021,27.4,25.8,30.6,6.4,,260,13.9,,999,
30-07-2021,26.9,25.8,28.7,17.1,,250,17.4,,998.7,
31-07-2021,27.1,25.2,30.7,16,,198,14.1,,999.6,
01-08-2021,28.6,25.7,32.7,2.6,,208,10.5,,1000.4,
02-08-2021,28.6,25.1,33.1,0.8,,224,9,,1001.6,
